time,temperature,rain,wind_speed,humidity
2025-11-02T00:00,13.7,0.0,1.8,98
2025-11-02T01:00,13.4,0.0,2.5,99
2025-11-02T02:00,13.4,0.0,1.8,100
2025-11-02T03:00,13.2,0.0,2.3,100
2025-11-02T04:00,13.0,0.0,2.5,100
2025-11-02T05:00,12.9,0.0,2.5,100
2025-11-02T06:00,12.6,0.0,1.3,100
2025-11-02T07:00,12.1,0.0,1.8,100
2025-11-02T08:00,12.8,0.0,1.3,99
2025-11-02T09:00,17.0,0.0,1.8,81
2025-11-02T10:00,20.4,0.0,2.9,65
2025-11-02T11:00,23.0,0.0,4.5,47
2025-11-02T12:00,24.8,0.0,5.4,39
2025-11-02T13:00,25.9,0.0,6.6,34
2025-11-02T14:00,26.5,0.0,7.1,31
2025-11-02T15:00,26.6,0.0,7.8,28
2025-11-02T16:00,26.0,0.0,8.2,31
2025-11-02T17:00,24.2,0.0,5.7,41
2025-11-02T18:00,22.0,0.0,2.7,50
2025-11-02T19:00,19.8,0.0,5.5,60
2025-11-02T20:00,19.4,0.0,2.2,61
2025-11-02T21:00,18.9,0.0,3.4,64
2025-11-02T22:00,18.2,0.0,3.8,81
2025-11-02T23:00,17.7,0.0,3.8,92
2025-11-03T00:00,17.4,0.0,2.3,91
2025-11-03T01:00,17.0,0.0,3.6,92
2025-11-03T02:00,16.2,0.0,4.6,95
2025-11-03T03:00,16.5,0.0,6.3,90
2025-11-03T04:00,16.7,0.0,7.1,85
2025-11-03T05:00,16.9,0.0,7.7,85
2025-11-03T06:00,16.7,0.0,7.2,85
2025-11-03T07:00,16.9,0.0,7.2,83
2025-11-03T08:00,17.9,0.0,9.1,79
2025-11-03T09:00,19.7,0.0,15.8,74
2025-11-03T10:00,20.7,0.0,17.9,69
2025-11-03T11:00,21.7,0.0,18.8,62
2025-11-03T12:00,22.3,0.0,18.8,56
2025-11-03T13:00,22.7,0.0,20.4,46
2025-11-03T14:00,22.7,0.0,20.7,44
2025-11-03T15:00,21.5,0.0,19.6,47
2025-11-03T16:00,21.0,0.0,18.3,52
2025-11-03T17:00,20.2,0.0,15.8,52
2025-11-03T18:00,18.9,0.0,11.2,57
2025-11-03T19:00,17.6,0.0,8.2,60
2025-11-03T20:00,16.6,0.0,5.5,67
2025-11-03T21:00,15.5,0.0,5.4,74
2025-11-03T22:00,14.7,0.0,5.6,79
2025-11-03T23:00,14.2,0.0,5.2,82
